"data","region","cases","cumulative"
2022-09-16,"Lombardia",7,344
2022-09-16,"Marche",0,7
2022-09-16,"Molise",0,0
2022-09-16,"Piemonte",0,31
2022-09-16,"Puglia",1,21
2022-09-16,"Sardegna",1,6
2022-09-16,"Sicilia",1,10
2022-09-16,"Toscana",0,44
2022-09-16,"PA Bolzano",0,1
2022-09-16,"PA Trento",0,4
2022-09-16,"Umbria",0,0
2022-09-16,"Valle d'Aosta",0,0
2022-09-16,"Veneto",0,58
2022-09-20,"Abruzzo",0,4
2022-09-20,"Basilicata",0,0
2022-09-20,"Calabria",0,0
2022-09-20,"Campania",0,40
2022-09-20,"Emilia-Romagna",1,84
2022-09-20,"Friuli-Venezia Giulia",0,14
2022-09-20,"Lazio",2,145
2022-09-20,"Liguria",0,18
2022-09-20,"Lombardia",3,347
2022-09-20,"Marche",0,7
2022-09-20,"Molise",0,0
2022-09-20,"Piemonte",0,31
2022-09-20,"Puglia",0,21
2022-09-20,"Sardegna",0,6
2022-09-20,"Sicilia",1,11
2022-09-20,"Toscana",1,45
2022-09-20,"PA Bolzano",0,1
2022-09-20,"PA Trento",0,4
2022-09-20,"Umbria",0,0
2022-09-20,"Valle d'Aosta",0,0
2022-09-20,"Veneto",1,59
2022-09-23,"Abruzzo",0,4
2022-09-23,"Basilicata",0,0
2022-09-23,"Calabria",0,0
2022-09-23,"Campania",0,40
2022-09-23,"Emilia-Romagna",0,84
2022-09-23,"Friuli-Venezia Giulia",0,14
2022-09-23,"Lazio",0,145
2022-09-23,"Liguria",0,18
2022-09-23,"Lombardia",1,348
2022-09-23,"Marche",0,7
2022-09-23,"Molise",0,0
2022-09-23,"Piemonte",1,32
2022-09-23,"Puglia",0,21
2022-09-23,"Sardegna",0,6
2022-09-23,"Sicilia",0,11
2022-09-23,"Toscana",0,45
2022-09-23,"PA Bolzano",0,1
2022-09-23,"PA Trento",0,4
2022-09-23,"Umbria",0,0
2022-09-23,"Valle d'Aosta",0,0
2022-09-23,"Veneto",3,62
2022-09-27,"Abruzzo",0,4
2022-09-27,"Basilicata",0,0
2022-09-27,"Calabria",0,0
2022-09-27,"Campania",0,40
2022-09-27,"Emilia-Romagna",1,85
2022-09-27,"Friuli-Venezia Giulia",0,14
2022-09-27,"Lazio",1,146
2022-09-27,"Liguria",0,18
2022-09-27,"Lombardia",0,348
2022-09-27,"Marche",0,7
2022-09-27,"Molise",0,0
2022-09-27,"Piemonte",0,32
2022-09-27,"Puglia",0,21
2022-09-27,"Sardegna",0,6
2022-09-27,"Sicilia",1,12
2022-09-27,"Toscana",0,45
2022-09-27,"PA Bolzano",0,1
2022-09-27,"PA Trento",0,4
2022-09-27,"Umbria",0,0
2022-09-27,"Valle d'Aosta",0,0
2022-09-27,"Veneto",1,63
2022-09-30,"Abruzzo",0,4
2022-09-30,"Basilicata",0,0
2022-09-30,"Calabria",0,0
2022-09-30,"Campania",0,40
2022-09-30,"Emilia-Romagna",0,85
2022-09-30,"Friuli-Venezia Giulia",0,14
2022-09-30,"Lazio",4,150
2022-09-30,"Liguria",0,18
2022-09-30,"Lombardia",0,348
2022-09-30,"Marche",0,7
2022-09-30,"Molise",0,0
2022-09-30,"Piemonte",0,32
2022-09-30,"Puglia",0,21
2022-09-30,"Sardegna",0,6
2022-09-30,"Sicilia",0,12
2022-09-30,"Toscana",0,45
2022-09-30,"PA Bolzano",0,1
2022-09-30,"PA Trento",0,4
2022-09-30,"Umbria",0,0
2022-09-30,"Valle d'Aosta",0,0
2022-09-30,"Veneto",0,63
2022-10-04,"Abruzzo",0,4
2022-10-04,"Basilicata",0,0
2022-10-04,"Calabria",0,0
2022-10-04,"Campania",0,40
2022-10-04,"Emilia-Romagna",0,85
2022-10-04,"Friuli-Venezia Giulia",0,14
2022-10-04,"Lazio",0,150
2022-10-04,"Liguria",0,18
2022-10-04,"Lombardia",0,348
2022-10-04,"Marche",0,7
2022-10-04,"Molise",0,0
2022-10-04,"Piemonte",0,32
2022-10-04,"Puglia",0,21
2022-10-04,"Sardegna",0,6
2022-10-04,"Sicilia",1,13
2022-10-04,"Toscana",0,45
2022-10-04,"PA Bolzano",0,1
2022-10-04,"PA Trento",0,4
2022-10-04,"Umbria",0,0
2022-10-04,"Valle d'Aosta",0,0
2022-10-04,"Veneto",0,63
2022-10-07,"Abruzzo",0,4
2022-10-07,"Basilicata",0,0
2022-10-07,"Calabria",0,0
2022-10-07,"Campania",0,40
